,group,Refuge,Inspection,Avoidance
1,CTRL,-15.6383334361464,20.3897582718448,8.19721174477348
2,CTRL,12.0653063417902,-10.9595633510911,3.46189017507441
3,CTRL,-9.43009516638902,12.291657534602,2.02243425622795
4,CTRL,-8.04575336675906,9.28816303844806,12.5432881887
5,CTRL,-11.5550591238503,4.17486632644041,10.7116658757235
6,CTRL,-17.1805867363595,20.5244078247505,17.0466467646025
7,CTRL,10.5798934390441,18.5488221606852,6.14321830337234
8,CTRL,-20.4637296488738,2.50336870166187,16.5950271930542
9,CTRL,-13.7771196109941,28.5914348493736,14.3822935705088
10,CTRL,12.8574907157857,14.6601470915503,1.81686209046411
11,FLX,-5.08137392317925,21.9867662666857,1.04363250757685
12,FLX,-10.8303305366104,11.5655494412345,1.20494041209502
13,FLX,-13.0981510871469,15.6008661997369,0.80812634948501
14,FLX,-11.6075294437055,44.6391929723904,1.78555965952892
15,FLX,-3.24487053917046,24.492054956632,5.3386519766515
16,FLX,-12.8335707684791,24.1522901466818,3.5068784531376
17,FLX,1.56064512953919,56.2699737313975,2.33979959172304
18,FLX,-6.70204781183008,38.55551293122722,3.18036015470634
19,FLX,12.5896063885837,21.8358865835455,2.22200377445551
20,FLX,-31.2709005131986,20.2156896531215,2.53781257017267
21,MET,-10.7135440503679,2.12697007874326,12.918783010066
22,MET,4.77176752037777,1.32020591415179,9.19208094333081
23,MET,-15.1825288596087,6.33221558433763,14.1090499009152
24,MET,-10.587797485437,2.92510779181773,15.0759835692452
25,MET,-12.4115122052697,4.04230371958862,9.66571284148468
26,MET,-4.47672683048463,4.39989655231017,10.7766879803983
27,MET,-15.5418781895435,2.59554629936555,15.4654059217305
28,MET,-11.7556466653381,-0.478955269278145,13.4461726252612
29,MET,-16.0923802664877,4.66334359392249,18.3708016353744
30,MET,-39.1380113360004,1.12675520523026,11.0396126797332
